t,x,y,z,qx,qy,qz,qw
1403636579863555584,0.000015374,0.007161486,0.002928599,-0.000918004,0.004979219,-0.002413593,0.999984264
1403636579913555456,-0.000031001,0.011778194,0.004526529,-0.006030866,0.005910445,-0.003002996,0.999959826
1403636579963555584,-0.000153235,0.015672365,0.005933190,-0.015069788,0.005974189,-0.003971807,0.999860704
1403636580013555456,-0.000319626,0.022112146,0.007598691,-0.017281342,0.005803385,-0.001416756,0.999832809
1403636580063555584,-0.000598261,0.025917856,0.009087536,-0.025566611,0.006531444,-0.002649812,0.999648273
1403636580113555456,-0.000681016,0.030761616,0.010597815,-0.029188583,0.005996543,-0.000276535,0.999555886
1403636580163555584,-0.000770654,0.038045183,0.012073264,-0.025413884,0.005327867,0.002972696,0.999658406
1403636580213555456,-0.000871855,0.042658195,0.013433296,-0.028347053,0.004895161,0.002144761,0.999583840
1403636580263555584,-0.000972595,0.045625161,0.014340071,-0.035071064,0.004763736,0.001445552,0.999372423
1403636580313555456,-0.001111787,0.049562279,0.015207085,-0.039628077,0.004867628,-0.000875231,0.999202251
1403636580363555584,-0.001312218,0.055403579,0.016025158,-0.039806440,0.003739584,-0.000792287,0.999200106
1403636580413555456,-0.001424365,0.058502499,0.016549231,-0.048311591,0.003401015,-0.001858566,0.998824775
1403636580463555584,-0.001631818,0.060035381,0.016691325,-0.059732378,0.003466520,-0.003534693,0.998202145
1403636580513555456,-0.001778291,0.061362121,0.016746460,-0.068782091,0.003064204,-0.003614147,0.997620463
1403636580563555584,-0.001961234,0.062501915,0.016586626,-0.071266472,0.001913993,-0.001801167,0.997453809
1403636580613555456,-0.002105096,0.060391013,0.015777618,-0.073696822,0.000498392,-0.001227315,0.997279823
1403636580663555584,-0.002325335,0.056486543,0.014813699,-0.072560459,0.000306895,-0.001492372,0.997362852
1403636580713555456,-0.002461478,0.051412269,0.013526088,-0.067837775,0.001599112,-0.003341715,0.997689486
1403636580763555584,-0.002506306,0.045301780,0.012068713,-0.061456833,0.003699049,-0.006080545,0.998084366
1403636580813555456,-0.002619132,0.037235804,0.010459274,-0.056832701,0.007454957,-0.009378330,0.998311818
1403636580863555584,-0.002583170,0.029952491,0.008916891,-0.047674276,0.012182907,-0.012699638,0.998707891
1403636580913555456,-0.002729325,0.022157028,0.007110888,-0.038972761,0.017805897,-0.016208328,0.998950124
1403636580963555584,-0.002926247,0.013580545,0.005378119,-0.032455992,0.019820159,-0.018510174,0.999105155
1403636581013555456,-0.003291995,0.005995624,0.003505409,-0.025831999,0.019891722,-0.019997928,0.999268293
1403636581063555584,-0.003617762,-0.000633134,0.001825406,-0.017829539,0.019146269,-0.019493835,0.999467611
1403636581113555456,-0.003662736,-0.007250414,0.000012917,-0.010990107,0.019433919,-0.017674325,0.999594510
1403636581163555584,-0.003745820,-0.012961285,-0.001674844,-0.001990981,0.019982232,-0.014586167,0.999691963
1403636581213555456,-0.003773325,-0.017773360,-0.002858768,0.007214404,0.020610999,-0.012888825,0.999678433
1403636581263555584,-0.003814549,-0.023029996,-0.004309538,0.014943738,0.020715063,-0.010244810,0.999621212
1403636581313555456,-0.003258363,-0.026042052,-0.005451029,0.022953780,0.020083996,-0.010706932,0.999477446
1403636581363555584,-0.003177075,-0.027656928,-0.006490896,0.028505456,0.020596286,-0.010233414,0.999329031
1403636581413555456,-0.002981207,-0.027655499,-0.006797583,0.029244548,0.022849103,-0.013374235,0.999221623
1403636581463555584,-0.002652084,-0.026216064,-0.006459907,0.026315384,0.024152417,-0.015704071,0.999238491
1403636581513555456,-0.002556507,-0.022736419,-0.005645662,0.020495607,0.025516758,-0.019018184,0.999283314
1403636581563555584,-0.002430359,-0.018016608,-0.004112856,0.014333237,0.026462447,-0.018207615,0.999381185
1403636581613555456,-0.001960271,-0.012930993,-0.002288596,0.006387095,0.025220912,-0.016625149,0.999523222
1403636581663555584,-0.001734582,-0.006917906,-0.000301729,0.000557138,0.024805225,-0.014857207,0.999581754
