x,y,z
1.083302,-0.309889,0.729920
2.524274,-0.300421,0.745426
3.829213,-0.292185,0.761816
5.128952,-0.289059,0.780548
6.556292,-0.286975,0.799368
7.848746,-0.290775,0.815181
9.132972,-0.298418,0.830327
10.409233,-0.310245,0.845982
11.804741,-0.329091,0.864158
13.068071,-0.347904,0.880819
14.449277,-0.376445,0.898528
15.694269,-0.408241,0.913128
16.926759,-0.445058,0.926804
18.148437,-0.486637,0.939915
19.481028,-0.536462,0.955197
20.683719,-0.584329,0.968816
21.999040,-0.641955,0.984038
23.189522,-0.697087,0.998467
24.377016,-0.755061,1.012406
25.561950,-0.814956,1.025398
26.860419,-0.885187,1.039456
28.036603,-0.950901,1.051284
29.207774,-1.021989,1.063682
30.374790,-1.095307,1.077215
31.655274,-1.180464,1.092246
32.816575,-1.261292,1.104571
33.975284,-1.346286,1.116352
35.243499,-1.445307,1.128545
36.391175,-1.537653,1.140724
37.536714,-1.631086,1.151455
38.794919,-1.735369,1.163451
39.935327,-1.831444,1.173615
41.071061,-1.931363,1.184248
42.316421,-2.043390,1.196089
43.445325,-2.147132,1.207364
44.570566,-2.252704,1.219849
45.691851,-2.361025,1.231773
46.920797,-2.486032,1.245152
48.034457,-2.600234,1.256940
49.144582,-2.716674,1.267893
50.362346,-2.847494,1.279240
51.466050,-2.969065,1.291692
52.566225,-3.092895,1.304062
53.772162,-3.229485,1.317423
54.865784,-3.358246,1.328106
55.955142,-3.488558,1.340250
57.148286,-3.635003,1.353836
58.225327,-3.769181,1.366404
59.294690,-3.904754,1.379388
60.458747,-4.053399,1.396406
61.506995,-4.189280,1.412102
62.546128,-4.330243,1.429598
63.680224,-4.481531,1.452117
64.703758,-4.623713,1.471030
65.720902,-4.766075,1.488805
66.729731,-4.906276,1.505378
67.825804,-5.061924,1.522303
68.812660,-5.202386,1.536619
69.887953,-5.355933,1.553515
70.855991,-5.493554,1.568971
71.813709,-5.631099,1.583729
72.761117,-5.765149,1.598043
73.793309,-5.912118,1.613039
74.723448,-6.044432,1.626279
75.645929,-6.176664,1.639564
76.651433,-6.318911,1.653102
77.557027,-6.447328,1.664742
78.454089,-6.574602,1.676791
79.431362,-6.710986,1.692757
80.309308,-6.835588,1.709430
81.181391,-6.957637,1.725698
82.134003,-7.088215,1.745479
82.991104,-7.208360,1.762533
83.841593,-7.325981,1.779037
84.684146,-7.440202,1.794827
85.602211,-7.562527,1.810100
86.429923,-7.671792,1.822689
87.250486,-7.782496,1.834112
88.144068,-7.901898,1.845486
88.945374,-8.010332,1.855709
89.736270,-8.116847,1.864743
90.594070,-8.233814,1.872475
91.363029,-8.339674,1.879652
92.121417,-8.440775,1.889257
92.943501,-8.551510,1.900227
93.682474,-8.649049,1.908333
94.411488,-8.745368,1.917302
95.202785,-8.848796,1.928343
95.909240,-8.943823,1.938984
96.604777,-9.037272,1.949387
97.358220,-9.135247,1.960412
98.032342,-9.224162,1.969273
98.696216,-9.314004,1.978376
99.414644,-9.411103,1.988130
100.056261,-9.497196,1.997168
100.687456,-9.579562,2.005424
101.306783,-9.662704,2.012335
101.973802,-9.753788,2.018392
102.566901,-9.835177,2.023342
103.147139,-9.913669,2.027722
103.769134,-9.998617,2.033484
104.318633,-10.071382,2.038108
104.852653,-10.144457,2.041487
105.424100,-10.228432,2.043821
105.927574,-10.304914,2.045561
106.462916,-10.379905,2.050474
106.932975,-10.438071,2.057051
