w_x,w_y,w_z,a_x,a_y,a_z
0.009095,-0.023141,-0.017909,-0.445198,0.042957,10.209865
0.004582,-0.013398,-0.021380,-0.535562,0.186717,10.078282
-0.005514,-0.016873,-0.022716,-0.513504,0.145090,9.891730
-0.005490,-0.014697,-0.024292,-0.473514,0.089088,10.091065
-0.009336,0.010644,-0.027261,-0.491050,0.035327,10.022575
-0.002230,0.016347,-0.029826,-0.597573,-0.033463,9.730662
-0.009466,-0.001467,-0.030075,-0.744515,-0.024339,9.566564
-0.007457,-0.012427,-0.029286,-0.790056,-0.025537,9.713480
-0.014674,-0.007881,-0.030668,-0.714549,-0.000296,10.073874
-0.019184,0.012755,-0.035740,-0.782570,-0.078960,9.997740
-0.009497,0.030465,-0.041315,-0.949965,-0.244297,9.599906
-0.002033,0.019696,-0.041515,-1.117371,-0.286216,9.460398
0.006610,-0.005359,-0.038606,-1.233551,-0.302898,9.432029
0.010239,-0.013387,-0.039164,-1.196023,-0.165753,9.948479
0.001226,-0.003694,-0.038619,-1.050981,-0.113984,10.013597
-0.007956,-0.001422,-0.036050,-0.829847,-0.148271,9.922844
-0.002088,-0.007777,-0.032721,-0.654709,-0.152039,9.743040
-0.007863,-0.010958,-0.031225,-0.515437,-0.053322,9.883809
-0.008392,-0.001293,-0.027819,-0.382192,-0.055561,9.871828
-0.013695,0.008734,-0.026984,-0.518244,-0.093766,9.851505
-0.004888,0.007000,-0.025551,-0.505885,-0.072474,9.640211
-0.009302,0.001425,-0.025016,-0.535042,0.009984,9.636619
-0.001369,-0.000764,-0.026170,-0.539667,-0.035369,9.774813
-0.006855,-0.002722,-0.023558,-0.489607,-0.062541,9.835341
0.005727,-0.000537,-0.025576,-0.388907,-0.206289,9.768966
0.005392,0.010967,-0.024642,-0.376675,-0.032244,9.944400
0.011610,0.016022,-0.024926,-0.448576,-0.168743,9.630701
0.021047,0.002345,-0.024024,-0.436576,0.030954,9.645556
0.005658,-0.007480,-0.022897,-0.452812,0.092570,9.759190
0.012143,-0.002112,-0.023453,-0.429631,-0.007050,9.850321
0.006541,0.004730,-0.022411,-0.379914,0.018038,9.958364
0.002724,0.004339,-0.021217,-0.500446,0.051970,9.778966
0.014221,-0.001443,-0.021234,-0.442123,0.003887,9.677951
0.004186,-0.001520,-0.021696,-0.464590,0.186021,9.834203
0.007272,0.003081,-0.023507,-0.503905,0.098787,9.765988
0.002728,0.003687,-0.022421,-0.479796,0.100803,9.791527
0.007043,0.002135,-0.023704,-0.482516,-0.002205,9.700783
0.016140,-0.001029,-0.024764,-0.487663,0.161002,9.826197
0.009754,-0.002612,-0.022532,-0.458363,0.064824,9.829377
0.013510,-0.005446,-0.022381,-0.481464,0.078774,9.785375
0.007126,-0.004320,-0.022590,-0.444610,0.160982,9.893121
0.003740,0.005035,-0.024487,-0.429104,0.134309,9.823138
-0.002043,0.001837,-0.024853,-0.459816,0.195509,9.803058
-0.003910,-0.003010,-0.023221,-0.439067,0.064423,9.730590
0.002711,0.000043,-0.022678,-0.423060,0.104125,9.811803
0.000093,0.001542,-0.024954,-0.514522,0.202371,9.975112
-0.013920,0.000024,-0.025036,-0.706162,0.077564,9.703564
-0.007815,-0.004897,-0.023636,-0.783525,0.098275,9.884100
-0.012798,-0.009204,-0.022699,-0.944509,0.084503,9.875872
-0.016365,-0.014696,-0.022829,-1.082440,0.182330,9.841833
-0.007772,-0.015022,-0.018570,-1.058075,-0.044883,9.976029
0.007869,-0.005592,-0.016222,-1.017318,0.146140,10.005043
-0.012440,-0.003743,-0.011621,-0.792333,0.246403,9.878110
0.001165,0.005302,-0.011971,-0.806081,-0.014163,9.757661
0.000820,0.018277,-0.010893,-0.829279,0.303080,10.018957
-0.003107,0.011464,-0.011063,-1.048058,0.168476,9.333702
-0.004845,-0.010285,-0.005886,-1.080945,0.157076,9.684296
0.000904,-0.011213,-0.006214,-1.112628,0.236752,9.916807
0.000202,0.000747,-0.005132,-1.106396,0.229369,10.045626
0.001450,0.005117,-0.005099,-1.127371,0.210099,9.864350
0.002263,0.006635,-0.003315,-1.112297,0.245486,9.697993
-0.004752,-0.000157,-0.003821,-1.021936,0.271424,9.732146
-0.001059,-0.002970,-0.005188,-0.931948,0.272426,9.727227
-0.000532,-0.002056,-0.000781,-0.894096,0.201241,9.798790
0.005743,-0.002327,0.000487,-0.912571,0.244453,9.835705
-0.007806,-0.004883,0.002781,-0.872951,0.365988,9.822656
0.003356,-0.006107,0.001381,-0.914666,0.285605,9.814904
-0.003980,-0.010181,0.004205,-0.917986,0.322974,9.858134
-0.005383,-0.013968,0.001819,-0.890395,0.321616,9.860381
-0.011026,-0.012496,0.002522,-0.842143,0.254821,9.861678
-0.006823,-0.000548,0.000249,-0.819119,0.417264,9.994377
-0.015479,0.010187,0.002574,-0.842320,0.227389,9.837500
-0.008631,0.017256,0.001812,-0.837387,0.287630,9.833836
-0.013234,0.016598,0.001922,-0.895457,0.179156,9.594909
-0.014635,0.006893,0.002006,-0.919096,0.412847,9.641436
-0.017897,-0.000054,0.001013,-0.890240,0.133920,9.537219
-0.011738,0.002988,0.002055,-0.853027,0.209204,9.873575
-0.002682,0.014193,0.000101,-0.888719,0.178992,9.923942
-0.001420,0.017703,0.001693,-1.065287,0.173924,9.778505
0.001584,0.012352,0.002132,-1.171922,0.218419,9.612683
-0.000649,0.002799,0.004386,-1.194964,0.207596,9.504671
0.013574,-0.001583,0.003399,-1.187978,0.115966,9.719706
0.012534,-0.003973,0.004344,-1.249033,0.183544,9.833342
0.000947,-0.008485,0.003494,-1.200626,0.406601,9.897786
0.004233,-0.011385,0.002816,-1.130757,0.148215,9.777701
0.013151,-0.008436,0.005902,-1.125429,0.271833,9.883625
0.006624,-0.000225,0.004257,-1.085289,0.401867,9.982577
0.004876,0.008182,0.004114,-1.222870,0.252214,9.794649
0.008619,0.003616,0.005523,-1.196962,0.250161,9.769571
0.006793,-0.002433,0.002382,-1.233212,0.372242,9.717813
-0.002821,-0.003551,0.000923,-1.189759,0.299411,9.633852
0.003671,0.000027,-0.002019,-1.170619,0.213012,9.904556
0.015952,0.005430,-0.005784,-1.222521,0.180056,9.911328
0.003617,0.011656,-0.005063,-1.204453,0.255452,9.849612
0.006632,0.009284,-0.009572,-1.230356,0.237520,9.721681
0.001737,0.005279,-0.009671,-1.349839,0.244047,9.681887
0.001759,0.005021,-0.007006,-1.350791,0.122372,9.649796
0.013110,0.003314,-0.008205,-1.468373,0.286597,9.794616
0.012743,0.002320,-0.009063,-1.509287,0.250937,9.741005
0.011475,0.007477,-0.005790,-1.535013,0.276122,9.843940
-0.000107,0.005672,-0.005844,-1.664110,0.326917,9.713447
-0.002526,-0.003922,-0.002602,-1.689027,0.320826,9.680340
0.004430,-0.003939,0.000019,-1.662375,0.131589,9.727815
0.037822,0.006152,-0.000102,-1.668487,0.102221,9.930910
0.044796,0.010589,0.002851,-1.773146,0.432407,9.690233
