x,y,z,qw,qx,qy,qz
1.406747,-0.002629,0.019699,0.999999,-0.000783,-0.000758,-0.000254
2.742866,-0.022863,0.001144,0.999999,-0.001118,-0.001258,0.000231
4.060699,-0.039589,-0.015554,0.999998,-0.000801,-0.001536,-0.000075
5.425671,-0.060403,-0.049359,0.999998,0.000217,-0.001757,0.000614
6.787674,-0.080238,-0.023133,0.999999,0.000911,-0.001003,0.000553
8.122662,-0.101110,-0.037097,0.999999,-0.000023,-0.001553,-0.000267
9.435529,-0.113426,-0.077914,0.999998,-0.001011,-0.001863,0.000469
10.776530,-0.131617,-0.105297,0.999998,-0.000431,-0.001398,0.001013
12.061579,-0.140123,-0.142831,0.999997,0.000414,-0.002260,0.001188
13.372877,-0.144847,-0.180335,0.999997,0.001346,-0.002092,0.000395
14.659030,-0.170590,-0.229438,0.999997,0.000865,-0.002243,-0.000348
15.940107,-0.205967,-0.252242,0.999998,-0.000472,-0.001668,-0.000156
17.198482,-0.225014,-0.282569,0.999998,-0.000966,-0.001873,-0.000656
18.448277,-0.249132,-0.331384,0.999998,-0.000054,-0.001846,0.000160
19.710515,-0.256767,-0.365467,0.999999,-0.000344,-0.001339,0.000483
20.924397,-0.272346,-0.416953,0.999998,-0.000649,-0.001876,-0.000130
22.212588,-0.283184,-0.475975,0.999998,-0.000783,-0.001434,0.000705
23.465381,-0.285357,-0.543740,0.999999,-0.000195,-0.001366,0.000758
24.704674,-0.287607,-0.620158,0.999999,0.000191,-0.001241,0.000897
25.929254,-0.301067,-0.705868,0.999998,0.000334,-0.001816,0.000127
27.166665,-0.293665,-0.793160,0.999999,-0.000594,-0.001186,0.000222
28.422399,-0.297219,-0.879535,0.999999,-0.000077,-0.001433,0.000016
29.647077,-0.300187,-0.961496,0.999999,-0.000489,-0.001120,0.000469
30.864810,-0.298876,-1.031228,0.999999,-0.000343,-0.000908,-0.000387
32.052866,-0.307879,-1.134059,0.999999,0.000576,-0.001528,0.000426
33.268932,-0.327824,-1.234586,0.999998,0.001025,-0.001421,-0.000849
34.456100,-0.336392,-1.322720,0.999998,-0.000266,-0.001207,-0.001337
35.673431,-0.340633,-1.436058,0.999999,-0.000649,-0.001408,-0.000024
36.865939,-0.356782,-1.531762,0.999999,-0.000078,-0.001258,-0.001137
38.039950,-0.370226,-1.656002,0.999999,0.000162,-0.001552,0.000164
39.229414,-0.370836,-1.758494,1.000000,-0.000073,-0.000983,0.000144
40.398492,-0.385705,-1.850157,0.999999,0.000002,-0.000753,-0.001113
41.528972,-0.399223,-1.946825,0.999999,-0.000217,-0.001099,-0.000631
42.714172,-0.377957,-2.043394,0.999999,-0.000422,-0.001120,-0.000216
43.916210,-0.379210,-2.157895,0.999999,0.000095,-0.000969,-0.000377
45.086206,-0.371726,-2.266746,0.999999,-0.000301,-0.000829,-0.000631
